Date,Open,High,Low,Close,Volume,AdjClose
8/19/2011,516.92,522.53,508.32,509.01,5167560000,509.01
8/18/2011,537.02,537.02,512.53,517.11,3234810000,517.11
8/17/2011,538.03,545.12,534.98,539.25,4388340000,539.25
8/16/2011,542.84,542.84,532.54,538.03,5071600000,538.03
8/15/2011,531.37,542.82,531.37,542.82,4272850000,542.82
8/12/2011,528.67,536.16,528.17,531.37,5640380000,531.37
8/11/2011,506.81,534.73,506.81,528.67,3685050000,528.67
8/10/2011,530.25,530.25,505.23,506.61,5018070000,506.61
8/9/2011,508.76,531.27,499.3,531.1,2366660000,531.1
8/8/2011,542.48,542.48,508.63,508.63,2615150000,508.63
8/5/2011,541.9,549.74,528.14,542.48,5454590000,542.48
8/4/2011,566.9,566.9,541.52,541.84,4266530000,541.84
8/3/2011,565.08,568.01,557.17,567.57,6446940000,567.57
8/2/2011,578.65,578.65,565.02,565.03,5206290000,565.03
8/1/2011,584.99,585.26,572.7,578.65,4967390000,578.65
7/29/2011,584.27,585.18,576.7,579.72,5061190000,579.72
7/28/2011,586.13,590.99,583.62,584.27,4951800000,584.27
7/27/2011,596.88,596.88,585.48,586.18,3479040000,586.18
7/26/2011,599.41,600.1,596.11,596.88,4007050000,596.88
7/25/2011,602.18,602.18,596.28,599.41,3536890000,599.41
7/22/2011,601.88,602.9,598.98,602.51,3522830000,602.51
7/21/2011,593.35,603.16,593.35,601.89,4837430000,601.89
7/20/2011,593.44,595.57,592.77,593.64,3767420000,593.64
7/19/2011,584.06,594.11,584.06,593.42,4304600000,593.42
7/18/2011,587.71,587.71,579.59,584.06,4118160000,584.06
7/15/2011,586.33,589.06,584.23,587.72,4242760000,587.72
7/14/2011,587.57,592.08,583.77,584.74,4358570000,584.74
7/13/2011,585.95,593.34,585.95,587.57,4060080000,587.57
7/12/2011,588.31,591.63,585.29,585.3,4227890000,585.3
7/11/2011,597.82,597.82,586.65,588.15,3879130000,588.15
7/8/2011,601.58,601.58,593.84,598.03,3594360000,598.03
7/7/2011,595.76,603.39,595.76,601.81,4069530000,601.81
7/6/2011,594.86,596.32,591.87,595.56,3564190000,595.56
7/5/2011,595.25,596.04,593.36,594.86,3722320000,594.86
7/1/2011,587.33,595.85,585.95,595.25,3796930000,595.25
6/30/2011,581.29,587.79,581.29,587.31,4200500000,587.31
6/29/2011,576.11,581.84,576.11,581.05,4347540000,581.05
6/28/2011,569.25,576.2,569.25,576.11,3681500000,576.11
6/27/2011,563.66,571.76,563.64,569.2,3479070000,569.2
6/24/2011,570.31,570.68,563.25,563.62,3665340000,563.62
6/23/2011,571.89,571.89,562.04,570.73,4983450000,570.73
6/22/2011,576.32,577.59,572.32,572.46,3718420000,572.46
6/21/2011,569.74,577.46,569.74,576.34,4056150000,576.34
6/20/2011,567.04,570.56,565.06,569.59,3464660000,569.59
6/17/2011,566.35,571.16,565.16,567.04,4916460000,567.04
6/16/2011,564.14,568.29,561.57,565.64,3846250000,565.64
6/15/2011,573.81,573.81,562.38,564.13,4070500000,564.13
6/14/2011,567.74,576.15,567.74,573.81,3500280000,573.81
6/13/2011,566.69,570.1,564.97,567.74,4132520000,567.74
6/10/2011,573.88,573.88,564.92,566.53,3846250000,566.53
6/9/2011,569.89,576.67,569.89,574,3332510000,574
6/8/2011,571.05,572.93,568.85,569.89,3970810000,569.89
6/7/2011,572.81,576.42,570.95,571.05,3846250000,571.05
6/6/2011,578.65,578.65,571.97,572.8,3555980000,572.8
6/3/2011,583.23,583.23,576.92,578.5,3505030000,578.5
6/2/2011,584.3,585.68,580.12,583.23,3762170000,583.23
6/1/2011,597.28,597.28,583.85,584.26,4241090000,584.26
5/31/2011,590.79,597.32,590.79,597.32,4696240000,597.32
5/27/2011,587.93,592.17,587.93,590.43,3124560000,590.43
5/26/2011,586.4,589.51,583.49,587.93,3259470000,587.93
5/25/2011,584.84,588.88,582.98,586.41,4109670000,586.41
5/24/2011,584.92,587.4,583.61,584.76,3846250000,584.76
5/23/2011,590.85,590.85,582.62,584.82,3255580000,584.82
5/20/2011,595.51,595.51,590.67,591.35,4066020000,591.35
5/19/2011,595.65,597.55,593.09,596.17,3626110000,596.17
5/18/2011,590.34,595.59,589.32,595.02,3922030000,595.02
5/17/2011,588.83,590.94,585.77,590.51,4053970000,590.51
5/16/2011,592.91,596.2,589.27,590.26,3846250000,590.26
5/13/2011,598.96,599.5,592.21,594.2,3426660000,594.2
5/12/2011,595.19,599.92,591.67,598.83,3777210000,598.83
5/11/2011,601.79,601.79,594.08,596.49,3846250000,596.49
5/10/2011,599.74,604.3,599.74,603.24,4223740000,603.24
5/9/2011,597.32,600.75,596.17,599.19,4265250000,599.19
5/6/2011,597.39,603.29,595.43,597.32,4223740000,597.32
5/5/2011,601.09,601.2,592.56,595.38,3846250000,595.38
5/4/2011,605.9,605.9,599.69,602.2,4223740000,602.2
5/3/2011,606.65,607.69,603.05,606.28,4223740000,606.28
5/2/2011,608.62,611.06,605.8,607.06,3846250000,607.06
4/29/2011,606.48,608.57,605.97,608.33,3479070000,608.33
4/28/2011,603.88,607.11,603.41,606.66,4036820000,606.66
4/27/2011,601.25,605.64,599.78,604.67,4051570000,604.67
4/26/2011,595.66,601.57,595.66,600.62,3908060000,600.62
4/25/2011,595.66,595.86,593.54,595.19,2142130000,595.19
4/21/2011,594.27,595.96,593.97,595.8,3587240000,595.8
4/20/2011,588.94,594.26,588.94,593.02,4236280000,593.02
4/19/2011,582.74,585.99,581.97,585.89,3886300000,585.89
4/18/2011,585.88,585.88,577.56,582.5,4223740000,582.5
4/15/2011,587.31,590.31,586.7,588.56,4223740000,588.56
4/14/2011,586.58,588.56,582.49,587.32,3872630000,587.32
4/13/2011,588.24,591.19,585.63,587.7,3850860000,587.7
4/12/2011,592.08,592.08,586.06,588.32,4275490000,588.32
4/11/2011,594.63,596.95,591.46,592.9,3478970000,592.9
4/8/2011,597.11,598.65,592.21,594.43,3582810000,594.43
4/7/2011,596.65,598.28,592.92,596.2,4005600000,596.2
4/6/2011,596.36,597.99,594.96,596.79,4223740000,596.79
4/5/2011,595,597.44,593.95,595.08,3852280000,595.08
4/4/2011,595.37,596.9,593.81,595.33,4223740000,595.33
4/1/2011,594.3,597.48,593.59,595.02,4223740000,595.02
3/31/2011,594.05,595.1,592.72,592.72,3566270000,592.72
3/30/2011,591.45,596.25,591.45,594.32,3809570000,594.32
3/29/2011,586.71,590.83,585.04,590.82,3482580000,590.82
3/28/2011,588.58,591.12,587.05,587.05,3215170000,587.05
3/25/2011,587.4,590.17,586.68,587.89,4223740000,587.89
3/24/2011,582.52,587.18,581.67,586.37,4223740000,586.37
3/23/2011,579.17,582.77,575.67,581.5,3842350000,581.5
3/22/2011,581.64,581.87,579.19,579.68,3576550000,579.68
3/21/2011,574.18,582.88,574.18,581.63,4223730000,581.63
3/18/2011,571.99,577.44,571.77,572.93,4685500000,572.93
3/17/2011,564.56,572.72,564.56,570.72,4134950000,570.72
3/16/2011,574.19,574.19,559.23,562.51,5833000000,562.51
3/15/2011,578.19,578.19,566.38,575.2,5201400000,575.2
3/14/2011,584.15,584.15,577.21,581.93,4050370000,581.93
3/11/2011,581.01,587.32,580.05,585.34,3740400000,585.34
3/10/2011,591.22,591.22,581.08,581.73,4723020000,581.73
3/9/2011,592.87,594.39,589.65,592.8,3709520000,592.8
3/8/2011,588.63,595.17,587.08,593.37,4531420000,593.37
3/7/2011,593.1,595.23,585.58,588.1,3964730000,588.1
3/4/2011,597.48,597.58,588.72,592.54,4223740000,592.54
3/3/2011,589.28,598.08,589.28,597.41,4340470000,597.41
3/2/2011,586.87,590.29,585.36,587.65,1025000000,587.65
3/1/2011,596.63,598.22,587.07,587.2,1180420000,587.2
2/28/2011,593.03,597.03,593.03,595.96,1252850000,595.96
2/25/2011,587.7,593,587.7,592.25,3836030000,592.25
2/24/2011,588.31,589.08,582.19,587.29,1222900000,587.29
2/23/2011,591.39,592.26,585.52,588.56,1330340000,588.56
2/22/2011,600.64,600.64,589.48,591.37,1322780000,591.37
2/18/2011,601.34,602.77,600.33,602.49,1966450000,602.49
2/17/2011,598.99,601.78,597.33,601.32,1966450000,601.32
2/16/2011,596.96,600.21,596.71,599.82,1966450000,599.82
2/15/2011,597.67,597.67,594.58,596.46,3926860000,596.46
2/14/2011,596.36,598.57,595.67,598.26,3567040000,598.26
2/11/2011,592.39,597.43,591.23,596.6,4219300000,596.6
2/10/2011,593.47,594.03,589.93,593.67,4184610000,593.67
2/9/2011,595.49,596.31,591.89,594.86,3922240000,594.86
2/8/2011,593.43,596.44,592.21,596.27,3881530000,596.27
2/7/2011,590.16,595.13,590.16,593.68,3902270000,593.68
2/4/2011,588.94,589.75,586.02,589.69,3925950000,589.69
