Date,Open,High,Low,Close,Volume,Adj Close
2002-08-12,436.42,452.08,422.51,449.98,000,449.98
2002-08-05,419.28,438.88,406.51,436.42,000,436.42
2002-07-29,416.34,445.23,416.34,419.28,000,419.28
2002-07-22,421.51,423.90,384.93,416.34,000,416.34
2002-07-15,444.79,452.07,418.57,421.51,000,421.51
2002-07-08,478.58,479.36,435.41,444.79,000,444.79
2002-07-01,489.50,489.88,454.26,478.58,000,478.58
2002-06-24,490.93,493.18,469.31,489.50,000,489.50
2002-06-17,495.54,514.06,489.26,490.93,000,490.93
2002-06-10,509.28,513.24,480.16,495.54,000,495.54
2002-06-03,528.58,528.58,497.39,509.28,000,509.28
2002-05-28,534.09,535.62,522.73,528.58,000,528.58
2002-05-20,545.30,545.30,528.06,534.09,000,534.09
2002-05-13,526.75,548.74,526.26,545.30,000,545.30
2002-05-06,535.10,539.78,523.81,526.75,000,526.75
2002-04-29,532.15,541.99,527.44,535.10,000,535.10
2002-04-22,549.90,549.90,532.14,532.15,000,532.15
2002-04-15,542.17,554.01,539.82,549.90,000,549.90
2002-04-08,530.38,543.99,526.39,542.17,000,542.17
2002-04-01,541.10,541.84,525.64,530.38,000,530.38
2002-03-25,535.81,543.42,527.20,541.10,000,541.10
2002-03-18,537.58,543.87,531.86,535.81,000,535.81
2002-03-11,537.67,539.58,531.12,537.58,000,537.58
2002-03-04,515.44,540.08,515.44,537.67,000,537.67
2002-02-25,496.42,515.44,496.42,515.44,000,515.44
2002-02-19,500.24,500.24,488.64,496.42,000,496.42
2002-02-11,495.56,508.42,495.34,500.24,000,500.24
2002-02-04,504.26,504.26,484.75,495.56,000,495.56
2002-01-28,507.44,509.57,491.43,505.29,000,505.29
2002-01-22,497.23,508.30,492.63,507.44,000,507.44
2002-01-14,508.21,508.21,495.52,497.23,000,497.23
2002-01-07,518.05,519.54,508.21,508.21,000,508.21
2001-12-31,514.51,518.83,498.04,518.05,000,518.05
2001-12-24,501.72,514.51,501.72,514.51,000,514.51
2001-12-17,491.65,505.09,491.26,501.72,000,501.72
2001-12-10,503.40,503.40,487.02,491.65,000,491.65
2001-12-03,483.75,507.12,479.81,503.40,000,503.40
2001-11-26,483.31,491.82,480.69,483.75,000,483.75
2001-11-19,477.27,484.02,474.44,483.31,000,483.31
2001-11-12,469.42,482.92,461.38,477.27,000,477.27
2001-11-05,459.65,476.71,459.65,469.42,000,469.42
2001-10-29,467.03,467.03,444.37,459.65,000,459.65
2001-10-22,448.87,467.69,448.13,467.03,000,467.03
2001-10-15,455.47,462.74,440.94,448.87,000,448.87
2001-10-08,441.58,461.25,434.84,455.47,000,455.47
2001-10-01,432.03,450.02,420.03,441.58,000,441.58
2001-09-24,404.34,432.39,404.34,432.03,000,432.03
2001-09-10,470.56,470.56,397.54,404.34,000,404.34
2001-09-04,493.79,499.53,468.45,470.56,000,470.56
2001-08-27,503.77,505.83,488.86,493.79,000,493.79
2001-08-20,495.39,503.92,492.38,503.77,000,503.77
2001-08-13,498.54,505.46,494.62,495.39,000,495.39
2001-08-06,511.95,511.95,492.44,498.54,000,498.54
