DATE,TB3MS
02/01/1979,9.32
03/01/1979,9.48
04/01/1979,9.46
05/01/1979,9.61
06/01/1979,9.06
07/01/1979,9.24
08/01/1979,9.52
09/01/1979,10.26
10/01/1979,11.70
11/01/1979,11.79
12/01/1979,12.04
01/01/1980,12.00
02/01/1980,12.86
03/01/1980,15.20
04/01/1980,13.20
05/01/1980,8.58
06/01/1980,7.07
07/01/1980,8.06
08/01/1980,9.13
09/01/1980,10.27
10/01/1980,11.62
11/01/1980,13.73
12/01/1980,15.49
01/01/1981,15.02
02/01/1981,14.79
03/01/1981,13.36
04/01/1981,13.69
05/01/1981,16.30
06/01/1981,14.73
07/01/1981,14.95
08/01/1981,15.51
09/01/1981,14.70
10/01/1981,13.54
11/01/1981,10.86
12/01/1981,10.85
01/01/1982,12.28
02/01/1982,13.48
03/01/1982,12.68
04/01/1982,12.70
05/01/1982,12.09
06/01/1982,12.47
07/01/1982,11.35
08/01/1982,8.68
09/01/1982,7.92
10/01/1982,7.71
11/01/1982,8.07
12/01/1982,7.94
01/01/1983,7.86
02/01/1983,8.11
03/01/1983,8.35
04/01/1983,8.21
05/01/1983,8.19
06/01/1983,8.79
07/01/1983,9.08
08/01/1983,9.34
09/01/1983,9.00
10/01/1983,8.64
11/01/1983,8.76
12/01/1983,9.00
01/01/1984,8.90
02/01/1984,9.09
03/01/1984,9.52
04/01/1984,9.69
05/01/1984,9.83
06/01/1984,9.87
07/01/1984,10.12
08/01/1984,10.47
09/01/1984,10.37
10/01/1984,9.74
11/01/1984,8.61
12/01/1984,8.06
01/01/1985,7.76
02/01/1985,8.27
03/01/1985,8.52
04/01/1985,7.95
05/01/1985,7.48
06/01/1985,6.95
07/01/1985,7.08
08/01/1985,7.14
09/01/1985,7.10
10/01/1985,7.16
11/01/1985,7.24
12/01/1985,7.10
01/01/1986,7.07
02/01/1986,7.06
03/01/1986,6.56
04/01/1986,6.06
05/01/1986,6.15
06/01/1986,6.21
07/01/1986,5.83
08/01/1986,5.53
09/01/1986,5.21
10/01/1986,5.18
11/01/1986,5.35
12/01/1986,5.53
01/01/1987,5.43
02/01/1987,5.59
03/01/1987,5.59
04/01/1987,5.64
05/01/1987,5.66
06/01/1987,5.67
07/01/1987,5.69
08/01/1987,6.04
09/01/1987,6.40
10/01/1987,6.13
11/01/1987,5.69
12/01/1987,5.77
01/01/1988,5.81
02/01/1988,5.66
03/01/1988,5.70
04/01/1988,5.91
05/01/1988,6.26
06/01/1988,6.46
07/01/1988,6.73
08/01/1988,7.06
09/01/1988,7.24
10/01/1988,7.35
11/01/1988,7.76
12/01/1988,8.07
01/01/1989,8.27
